,,,,合計金額,"\55,907,112 ",,,,,,,,,,,,,,\0 ,\0 ,,,,,,
識別コード,識別コード分類,資材分類,資材区分,資材コード,備考,品名,色/他,構成,巾,長さ,t/厚み,単位,単価,棚卸し対象,対象,廃盤フラグ,前月在庫,数量合計の合計,合計金額の合計,合計金額(1%増し),調査日,顧客名,現場名,依頼番号,進捗率,前月差
02-006,02,面材,直接資材,N02000000000006,,片面化粧MDF t2.5X3'X9' GO,GO,MDF,910,2720,2.5,枚,1934,1,対象(通常品),0,30,19,36746,37113.46,2026/02/20,,,,100,
02-007,02,面材,直接資材,N02000000000007,,片面化粧MDF t2.5X3'X8' LO,LO,MDF,3',8',2.5,枚,1338,1,対象(通常品),0,18,25,33450,33784.5,2026/02/20,,,,100,
02-008,02,面材,直接資材,N02000000000008,,片面化粧MDF t2.5X3'X9' LO,LO,MDF,3',9',2.5,枚,1400,1,対象(通常品),0,11,38,53200,53732,2026/02/20,,,,100,
02-009,02,面材,直接資材,N02000000000009,,片面化粧MDF t2.5X3'X8' MC,MC,MDF,3',8',2.5,枚,969.33,1,対象(通常品),0,0,12,11631.96,11748.2796,2026/02/20,,,,100,
02-010,02,面材,直接資材,N02000000000010,,片面化粧MDF t2.5X3'X9' MC,MC,MDF,3',9',2.5,枚,1754,1,対象(通常品),0,52,9,15786,15943.86,2026/02/20,,,,100,
02-011,02,面材,直接資材,N02000000000011,,片面化粧MDF t2.5X3'X6' MW,MW,MDF,3',6',2.5,枚,1059,1,対象(通常品),0,0,0,0,0,2026/02/20,,,,100,
02-012,02,面材,直接資材,N02000000000012,,片面化粧MDF t2.5X3X7 MW,MW,MDF,3',7',2.5,枚,946,1,対象(通常品),0,59,42,39732,40129.32,2026/02/20,,,,100,
02-014,02,面材,直接資材,N02000000000014,,片面化粧MDF 2.5X3X7 NK,NK,MDF,3',7',2.5,枚,946,1,対象(通常品),0,36,36,34056,34396.56,2026/02/20,,,,100,
02-017,02,面材,直接資材,N02000000000017,,片面化粧MDF 2.5X3X7 RD,RD,MDF,3',7',2.5,枚,655,1,対象(通常品),0,34,35,22925,23154.25,2026/02/20,,,,100,
02-020,02,面材,直接資材,N02000000000020,,片面化粧MDF t2.5X3'X9' SH,SH,MDF,3',9',2.5,枚,1754,1,対象(通常品),0,35,30,52620,53146.2,2026/02/20,,,,100,
02-021,02,面材,直接資材,N02000000000021,,片面化粧MDFt2.5X3X8 SY,SY,MDF,3',8',2.5,枚,1120,1,対象(通常品),0,19,31,34720,35067.2,2026/02/20,,,,100,
02-022,02,面材,直接資材,N02000000000022,,片面化粧MDF t2.5X3'X8' WH,WH,MDF,910,2420,2.5,枚,1338,1,対象(通常品),0,156,56,74928,75677.28,2026/02/20,,,,100,
02-023,02,面材,直接資材,N02000000000023,,片面化粧MDF t2.5X3'X9' WH,WH,MDF,910,2720,2.5,枚,1754,1,対象(通常品),0,16,23,40342,40745.42,2026/02/20,,,,100,
02-024,02,面材,直接資材,N02000000000024,,片面化粧MDF t2.5X3'X8' WM,WM,MDF,3',8',2.5,枚,1545,1,対象(通常品),0,130,37,57165,57736.65,2026/02/20,,,,100,
02-025,02,面材,直接資材,N02000000000025,,片面化粧MDF t2.5X3'X9' WM,WM,MDF,3',9',2.5,枚,1754,1,対象(通常品),0,60,36,63144,63775.44,2026/02/20,,,,100,
02-027,02,面材,直接資材,N02000000000027,,片面化粧MDF 2.5X3X7 WW,WW,MDF,3',7',2.5,枚,655,1,対象(通常品),0,90,90,58950,59539.5,2026/02/20,,,,100,
02-028,02,面材,直接資材,N02000000000028,,片面化粧MDF t2.5X3'X8' LW ﾚｻﾞｰﾎﾜｲﾄ,LW,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,20,20,46800,47268,2026/02/20,,,,100,
02-029,02,面材,直接資材,N02000000000029,,片面化粧MDF t2.5X3'X8' MW ﾏｰﾌﾞﾙｳｯﾄﾞ,MW,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,26,25,58500,59085,2026/02/20,,,,100,
02-030,02,面材,直接資材,N02000000000030,,片面化粧MDF t2.5X3'X8' NO ﾉﾙﾃｵｰｸ,NO,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,9,25,58500,59085,2026/02/20,,,,100,
02-031,02,面材,直接資材,N02000000000031,,片面化粧MDF t2.5X3'X8' BA ﾌﾞﾗｯｸｱｶｼｱ,BA,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,28,42,98280,99262.8,2026/02/20,,,,100,
02-033,02,面材,直接資材,N02000000000033,,片面化粧MDF t2.5X3'X8' MA ﾐﾃﾞｨｱﾑｱｶｼｱ,MA,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,35,39,91260,92172.6,2026/02/20,,,,100,
02-034,02,面材,直接資材,N02000000000034,,片面化粧MDF t2.5X3'X8' NBL ﾈｵﾌﾞﾗｯｸﾚｻﾞｰ,NBL,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,0,13,30420,30724.2,2026/02/20,,,,100,
02-035,02,面材,直接資材,N02000000000035,,片面化粧MDF t2.5X3'X8' PW ﾊﾟｰﾙﾎﾜｲﾄ,PW,MDF,910,2430,2.5,枚,3055,1,対象(通常品),0,30,30,91650,92566.5,2026/02/20,,,,100,
02-036,02,面材,直接資材,N02000000000036,,片面化粧MDF t2.5X3'X8' TO ｻｰﾓｽｵｰｸ,TO,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,20,8,18720,18907.2,2026/02/20,,,,100,
02-037,02,面材,直接資材,N02000000000037,,片面化粧MDF t2.5X3'X8' UW ｱﾝﾊﾞｰｳｫｰﾙﾅｯﾄ,UW,MDF,910,2430,2.5,枚,2340,1,対象(通常品),0,24,21,49140,49631.4,2026/02/20,,,,100,
02-038,02,面材,直接資材,N02000000000038,,"片面化粧MDF t2.5X3'X8' 
ﾊﾞﾆﾗｳｯﾄﾞ",VW,MDF,3',8',2.5,枚,2340,1,対象(通常品),0,17,14,32760,33087.6,2026/02/20,,,,100,
02-041,02,面材,直接資材,N02000000000041,,片面化粧MDF t4X4'X6' NK,NK,MDF,4',6',4,枚,1200,1,対象(通常品),0,0,0,0,0,2026/02/20,,,,100,
02-051,02,面材,直接資材,N02000000000051,アイマックス,MDF化粧天板 t18X405X2450 BR,BR,MDF,405,2450,18,枚,3190,9,対象(外注先売却予定),0,60,60,191400,193314,2026/02/20,,,,100,
02-052,02,面材,直接資材,N02000000000052,アイマックス,MDF化粧天板 t18X405X2450 BW,BW,MDF,405,2450,18,枚,3010,9,対象(外注先売却予定),0,9,9,27090,27360.9,2026/02/20,,,,100,
02-055,02,面材,直接資材,N02000000000055,アイマックス,化粧MDF t18X4'X7' BW,BW,MDF,1225,2165,18,枚,6950,9,対象(外注先売却予定),0,8,8,55600,56156,2026/02/20,,,,100,
02-056,02,面材,直接資材,N02000000000056,アイマックス,MDF化粧天板 t18X405X2450 CW,CW,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,16,16,48880,49368.8,2026/02/20,,,,100,
02-057,02,面材,直接資材,N02000000000057,アイマックス,化粧MDF t18X3'X6' CW,CW,MDF,915,1825,18,枚,5020,9,対象(外注先売却予定),0,8,8,40160,40561.6,2026/02/20,,,,100,
02-058,02,面材,直接資材,N02000000000058,アイマックス,MDF化粧天板 t18X405X2450 GO,GO,MDF,405,2450,18,枚,3010,9,対象(外注先売却予定),0,7,7,21070,21280.7,2026/02/20,,,,100,
02-062,02,面材,直接資材,N02000000000062,アイマックス,MDF化粧天板 t18X405X2450 GW,GW,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,10,10,30550,30855.5,2026/02/20,,,,100,
02-063,02,面材,直接資材,N02000000000063,アイマックス,MDF化粧天板 t18X405X2450 LCB,LCB,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,9,9,27495,27769.95,2026/02/20,,,,100,
02-064,02,面材,直接資材,N02000000000064,アイマックス,化粧MDF t18X920X1850 LCB,LCB,MDF,920,1850,18,枚,4555,9,対象(外注先売却予定),0,20,18,81990,82809.9,2026/02/20,,,,100,
02-066,02,面材,直接資材,N02000000000066,アイマックス,化粧MDF t18X920X1850 LCW,LCW,MDF,920,1850,18,枚,7000,9,対象(外注先売却予定),0,10,10,70000,70700,2026/02/20,,,,100,
02-067,02,面材,直接資材,N02000000000067,アイマックス,MDF化粧天板 t18X405X2450 LO,LO,MDF,405,2450,18,枚,2895,9,対象(外注先売却予定),0,13,13,37635,38011.35,2026/02/20,,,,100,
02-069,02,面材,直接資材,N02000000000069,アイマックス,MDF化粧天板 t18X405X2450 MC,MC,MDF,405,2450,18,枚,2895,9,対象(外注先売却予定),0,16,16,46320,46783.2,2026/02/20,,,,100,
02-070,02,面材,直接資材,N02000000000070,アイマックス,化粧MDF t18X4'X8' MC,MC,MDF,1200,2400,18,枚,9315,9,対象(外注先売却予定),0,20,20,186300,188163,2026/02/20,,,,100,
02-072,02,面材,直接資材,N02000000000072,アイマックス,MDF化粧天板 t18X405X2450 SH,SH,MDF,405,2450,18,枚,2895,9,対象(外注先売却予定),0,17,17,49215,49707.15,2026/02/20,,,,100,
02-074,02,面材,直接資材,N02000000000074,アイマックス,MDF化粧天板 t18X405X2450 SP,SP,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,7,7,21385,21598.85,2026/02/20,,,,100,
02-076,02,面材,直接資材,N02000000000076,アイマックス,MDF t18x4'x8' SP,SP,MDF,4',8',18,枚,9315,9,対象(外注先売却予定),0,8,8,74520,75265.2,2026/02/20,,,,100,
